Scenario,Algorithm,Grid,Uncovered%,Win,Flagged%
"(16, 16, 100)",Abel 8x8 10k 1000,17,3.515625,0,-
"(16, 16, 100)",Kane + MCTS,17,7.03125,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,18,2.734375,0,-
"(16, 16, 100)",Abel 16x16 750 100k,18,3.90625,0,-
"(16, 16, 100)",Abel 4x4 100k 100,18,1.953125,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,18,2.734375,0,-
"(16, 16, 100)",Kane + MCTS,18,1.171875,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,19,3.125,0,-
"(16, 16, 100)",Abel 16x16 750 100k,19,2.34375,0,-
"(16, 16, 100)",Abel 4x4 100k 100,19,1.171875,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,19,0.390625,0,-
"(16, 16, 100)",Kane + MCTS,19,0.390625,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,20,4.6875,0,-
"(16, 16, 100)",Abel 16x16 750 100k,20,1.171875,0,-
"(16, 16, 100)",Abel 4x4 100k 100,20,1.953125,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,20,0.390625,0,-
"(16, 16, 100)",Kane + MCTS,20,8.59375,0,1.953125
"(16, 16, 40)",Abel 16x16 2000 10k,1,23.828125,0,-
"(16, 16, 40)",Abel 16x16 750 100k,1,16.40625,0,-
"(16, 16, 40)",Abel 4x4 100k 100,1,1.5625,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,1,1.5625,0,-
"(16, 16, 40)",Kane + MCTS,1,1.171875,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,2,2.34375,0,-
"(16, 16, 40)",Abel 16x16 750 100k,2,1.5625,0,-
"(16, 16, 40)",Abel 4x4 100k 100,2,18.359375,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,2,0.390625,0,-
"(16, 16, 40)",Kane + MCTS,2,0.390625,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,3,6.640625,0,-
"(16, 16, 40)",Abel 16x16 750 100k,3,14.0625,0,-
"(16, 16, 40)",Abel 4x4 100k 100,3,1.953125,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,3,0.390625,0,-
"(16, 16, 40)",Kane + MCTS,3,2.734375,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,4,3.515625,0,-
"(16, 16, 40)",Abel 16x16 750 100k,4,2.34375,0,-
"(16, 16, 40)",Abel 4x4 100k 100,4,1.171875,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,4,0.78125,0,-
"(16, 16, 40)",Kane + MCTS,4,84.375,1,15.625
"(16, 16, 40)",Abel 16x16 2000 10k,5,16.015625,0,-
"(16, 16, 40)",Abel 16x16 750 100k,5,2.34375,0,-
"(16, 16, 40)",Abel 4x4 100k 100,5,0.390625,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,5,3.125,0,-
"(16, 16, 40)",Kane + MCTS,5,84.375,1,15.234375
"(16, 16, 40)",Abel 16x16 2000 10k,6,10.9375,0,-
"(16, 16, 40)",Abel 16x16 750 100k,6,0.390625,0,-
"(16, 16, 40)",Abel 4x4 100k 100,6,14.84375,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,6,0.390625,0,-
"(16, 16, 40)",Kane + MCTS,6,1.5625,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,7,4.6875,0,-
"(16, 16, 40)",Abel 16x16 750 100k,7,1.171875,0,-
"(16, 16, 40)",Abel 4x4 100k 100,7,1.171875,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,7,1.171875,0,-
"(16, 16, 40)",Kane + MCTS,7,84.375,1,15.625
"(16, 16, 40)",Abel 16x16 2000 10k,8,10.15625,0,-
"(16, 16, 40)",Abel 16x16 750 100k,8,0.78125,0,-
"(16, 16, 40)",Abel 4x4 100k 100,8,12.109375,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,8,0.78125,0,-
"(16, 16, 40)",Kane + MCTS,8,3.125,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,9,1.171875,0,-
"(16, 16, 40)",Abel 16x16 750 100k,9,0.390625,0,-
"(16, 16, 40)",Abel 4x4 100k 100,9,0.78125,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,9,12.890625,0,-
"(16, 16, 40)",Kane + MCTS,9,6.640625,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,10,0.390625,0,-
"(16, 16, 40)",Abel 16x16 750 100k,10,5.078125,0,-
"(16, 16, 40)",Abel 4x4 100k 100,10,1.5625,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,10,0.390625,0,-
"(16, 16, 40)",Kane + MCTS,10,84.375,1,15.625
"(16, 16, 40)",Abel 16x16 2000 10k,11,0.390625,0,-
"(16, 16, 40)",Abel 16x16 750 100k,11,10.9375,0,-
"(16, 16, 40)",Abel 4x4 100k 100,11,2.34375,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,11,19.921875,0,-
"(16, 16, 40)",Kane + MCTS,11,0.390625,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,12,17.96875,0,-
"(16, 16, 40)",Abel 16x16 750 100k,12,2.734375,0,-
"(16, 16, 40)",Abel 4x4 100k 100,12,23.4375,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,12,1.953125,0,-
"(16, 16, 40)",Kane + MCTS,12,84.375,1,15.625
"(16, 16, 40)",Abel 16x16 2000 10k,13,25.78125,0,-
"(16, 16, 40)",Abel 16x16 750 100k,13,2.34375,0,-
"(16, 16, 40)",Abel 4x4 100k 100,13,32.03125,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,13,0.390625,0,-
"(16, 16, 40)",Kane + MCTS,13,3.125,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,14,14.84375,0,-
"(16, 16, 40)",Abel 16x16 750 100k,14,2.34375,0,-
"(16, 16, 40)",Abel 4x4 100k 100,14,4.6875,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,14,17.1875,0,-
"(16, 16, 40)",Kane + MCTS,14,1.5625,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,15,10.546875,0,-
"(16, 16, 40)",Abel 16x16 750 100k,15,0.78125,0,-
"(16, 16, 40)",Abel 4x4 100k 100,15,1.5625,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,15,2.734375,0,-
"(16, 16, 40)",Kane + MCTS,15,84.375,1,15.625
"(16, 16, 40)",Abel 16x16 2000 10k,16,7.8125,0,-
"(16, 16, 40)",Abel 16x16 750 100k,16,1.953125,0,-
"(16, 16, 40)",Abel 4x4 100k 100,16,0.78125,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,16,0.78125,0,-
"(16, 16, 40)",Kane + MCTS,16,0.390625,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,17,3.515625,0,-
"(16, 16, 40)",Abel 16x16 750 100k,17,15.234375,0,-
"(16, 16, 40)",Abel 4x4 100k 100,17,33.984375,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,17,1.171875,0,-
"(16, 16, 40)",Kane + MCTS,17,84.375,1,15.625
"(16, 16, 40)",Abel 16x16 2000 10k,18,2.734375,0,-
"(16, 16, 40)",Abel 16x16 750 100k,18,1.171875,0,-
"(16, 16, 40)",Abel 4x4 100k 100,18,14.453125,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,18,2.734375,0,-
"(16, 16, 40)",Kane + MCTS,18,84.375,1,15.625
"(16, 16, 40)",Abel 16x16 2000 10k,19,0.78125,0,-
"(16, 16, 40)",Abel 16x16 750 100k,19,5.46875,0,-
"(16, 16, 40)",Abel 4x4 100k 100,19,1.171875,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,19,1.5625,0,-
"(16, 16, 40)",Kane + MCTS,19,1.171875,0,0.0
"(16, 16, 40)",Abel 16x16 2000 10k,20,5.859375,0,-
"(16, 16, 40)",Abel 16x16 750 100k,20,0.390625,0,-
"(16, 16, 40)",Abel 4x4 100k 100,20,6.640625,0,-
"(16, 16, 40)",Abel 8x8 10k 1000,20,0.390625,0,-
"(16, 16, 40)",Kane + MCTS,20,3.515625,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,1,1.25,0,-
"(16, 30, 150)",Abel 16x16 750 100k,1,3.75,0,-
"(16, 30, 150)",Abel 4x4 100k 100,1,0.4166666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,1,1.4583333333333333,0,-
"(16, 30, 150)",Kane + MCTS,1,0.2083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,2,1.25,0,-
"(16, 30, 150)",Abel 16x16 750 100k,2,1.0416666666666663,0,-
"(16, 30, 150)",Abel 4x4 100k 100,2,1.0416666666666663,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,2,3.958333333333333,0,-
"(16, 30, 150)",Kane + MCTS,2,1.875,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,3,3.125,0,-
"(16, 30, 150)",Abel 16x16 750 100k,3,1.0416666666666663,0,-
"(16, 30, 150)",Abel 4x4 100k 100,3,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,3,0.625,0,-
"(16, 30, 150)",Kane + MCTS,3,0.2083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,4,2.083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,4,0.625,0,-
"(16, 30, 150)",Abel 4x4 100k 100,4,0.4166666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,4,0.625,0,-
"(16, 30, 150)",Kane + MCTS,4,0.625,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,5,0.2083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,5,0.625,0,-
"(16, 30, 150)",Abel 4x4 100k 100,5,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,5,0.4166666666666667,0,-
"(16, 30, 150)",Kane + MCTS,5,1.6666666666666667,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,6,1.875,0,-
"(16, 30, 150)",Abel 16x16 750 100k,6,0.4166666666666667,0,-
"(16, 30, 150)",Abel 4x4 100k 100,6,0.4166666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,6,0.2083333333333333,0,-
"(16, 30, 150)",Kane + MCTS,6,0.4166666666666667,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,7,1.25,0,-
"(16, 30, 150)",Abel 16x16 750 100k,7,2.083333333333333,0,-
"(16, 30, 150)",Abel 4x4 100k 100,7,2.9166666666666665,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,7,1.25,0,-
"(16, 30, 150)",Kane + MCTS,7,0.2083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,8,0.2083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,8,1.25,0,-
"(16, 30, 150)",Abel 4x4 100k 100,8,1.25,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,8,0.4166666666666667,0,-
"(16, 30, 150)",Kane + MCTS,8,1.875,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,9,0.625,0,-
"(16, 30, 150)",Abel 16x16 750 100k,9,0.625,0,-
"(16, 30, 150)",Abel 4x4 100k 100,9,0.8333333333333334,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,9,1.25,0,-
"(16, 30, 150)",Kane + MCTS,9,0.8333333333333334,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,10,0.2083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,10,2.9166666666666665,0,-
"(16, 30, 150)",Abel 4x4 100k 100,10,2.083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,10,1.0416666666666663,0,-
"(16, 30, 150)",Kane + MCTS,10,0.2083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,11,1.25,0,-
"(16, 30, 150)",Abel 16x16 750 100k,11,2.5,0,-
"(16, 30, 150)",Abel 4x4 100k 100,11,0.4166666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,11,0.8333333333333334,0,-
"(16, 30, 150)",Kane + MCTS,11,2.708333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,12,1.4583333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,12,0.8333333333333334,0,-
"(16, 30, 150)",Abel 4x4 100k 100,12,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,12,0.2083333333333333,0,-
"(16, 30, 150)",Kane + MCTS,12,0.4166666666666667,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,13,0.8333333333333334,0,-
"(16, 30, 150)",Abel 16x16 750 100k,13,1.25,0,-
"(16, 30, 150)",Abel 4x4 100k 100,13,1.0416666666666663,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,13,1.25,0,-
"(16, 30, 150)",Kane + MCTS,13,0.4166666666666667,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,14,0.4166666666666667,0,-
"(16, 30, 150)",Abel 16x16 750 100k,14,2.708333333333333,0,-
"(16, 30, 150)",Abel 4x4 100k 100,14,1.0416666666666663,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,14,0.2083333333333333,0,-
"(16, 30, 150)",Kane + MCTS,14,0.625,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,15,0.8333333333333334,0,-
"(16, 30, 150)",Abel 16x16 750 100k,15,0.4166666666666667,0,-
"(16, 30, 150)",Abel 4x4 100k 100,15,1.6666666666666667,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,15,3.958333333333333,0,-
"(16, 30, 150)",Kane + MCTS,15,1.25,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,16,2.083333333333333,0,-
"(16, 30, 150)",Abel 16x16 750 100k,16,0.2083333333333333,0,-
"(16, 30, 150)",Abel 4x4 100k 100,16,0.625,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,16,0.8333333333333334,0,-
"(16, 30, 150)",Kane + MCTS,16,0.625,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,17,1.875,0,-
"(16, 30, 150)",Abel 16x16 750 100k,17,3.333333333333333,0,-
"(16, 30, 150)",Abel 4x4 100k 100,17,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,17,0.4166666666666667,0,-
"(16, 30, 150)",Kane + MCTS,17,2.083333333333333,0,0.0
"(16, 30, 150)",Abel 16x16 2000 10k,18,0.8333333333333334,0,-
"(16, 30, 150)",Abel 16x16 750 100k,18,1.0416666666666663,0,-
"(16, 30, 150)",Abel 4x4 100k 100,18,0.2083333333333333,0,-
"(16, 30, 150)",Abel 8x8 10k 1000,18,0.2083333333333333,0,-
"(16, 30, 150)",Kane + MCTS,18,1.25,0,0.0
