Scenario,Algorithm,Grid,Uncovered%,Win,Initial Uncovered%,DifferenceUncovered%
"(16, 16, 40)",Abel 4x4 100k 100,1,12.5,0,3.515625,8.984375
"(16, 16, 40)",Abel 8x8 10k 1k,1,4.296875,0,3.515625,0.78125
"(16, 16, 40)",Kane + MCTS,1,3.90625,0,3.515625,0.390625
"(16, 16, 40)",Abel 16x16 2000 10k,2,12.109375,0,7.03125,5.078125
"(16, 16, 40)",Abel 16x16 750 100k,2,12.890625,0,7.03125,5.859375
"(16, 16, 40)",Abel 4x4 100k 100,2,20.3125,0,7.03125,13.28125
"(16, 16, 40)",Abel 8x8 10k 1k,2,14.0625,0,7.03125,7.03125
"(16, 16, 40)",Kane + MCTS,2,11.328125,0,7.03125,4.296875
"(16, 16, 40)",Abel 16x16 2000 10k,3,16.40625,0,5.859375,10.546875
"(16, 16, 40)",Abel 16x16 750 100k,3,8.984375,0,5.859375,3.125
"(16, 16, 40)",Abel 4x4 100k 100,3,24.609375,0,5.859375,18.75
"(16, 16, 40)",Abel 8x8 10k 1k,3,22.65625,0,5.859375,16.796875
"(16, 16, 40)",Kane + MCTS,3,20.703125,0,5.859375,14.84375
"(16, 16, 40)",Abel 16x16 2000 10k,4,3.515625,0,2.34375,1.171875
"(16, 16, 40)",Abel 16x16 750 100k,4,8.984375,0,2.34375,6.640625
"(16, 16, 40)",Abel 4x4 100k 100,4,12.5,0,2.34375,10.15625
"(16, 16, 40)",Abel 8x8 10k 1k,4,12.109375,0,2.34375,9.765625
"(16, 16, 40)",Kane + MCTS,4,2.734375,0,2.34375,0.390625
"(16, 16, 40)",Abel 16x16 2000 10k,5,10.15625,0,9.375,0.78125
"(16, 16, 40)",Abel 16x16 750 100k,5,19.53125,0,9.375,10.15625
"(16, 16, 40)",Abel 4x4 100k 100,5,65.625,0,9.375,56.25
"(16, 16, 40)",Abel 8x8 10k 1k,5,65.234375,0,9.375,55.859375
"(16, 16, 40)",Kane + MCTS,5,58.984375,0,9.375,49.609375
"(16, 16, 40)",Abel 16x16 2000 10k,6,15.234375,0,13.28125,1.953125
"(16, 16, 40)",Abel 16x16 750 100k,6,14.84375,0,13.28125,1.5625
"(16, 16, 40)",Abel 4x4 100k 100,6,84.375,1,13.28125,71.09375
"(16, 16, 40)",Abel 8x8 10k 1k,6,84.375,1,13.28125,71.09375
"(16, 16, 40)",Kane + MCTS,6,84.375,1,13.28125,71.09375
"(16, 16, 40)",Abel 16x16 2000 10k,7,7.8125,0,2.34375,5.46875
"(16, 16, 40)",Abel 16x16 750 100k,7,3.90625,0,2.34375,1.5625
"(16, 16, 40)",Abel 4x4 100k 100,7,23.828125,0,2.34375,21.484375
"(16, 16, 40)",Abel 8x8 10k 1k,7,23.4375,0,2.34375,21.09375
"(16, 16, 40)",Kane + MCTS,7,2.734375,0,2.34375,0.390625
"(16, 16, 40)",Abel 16x16 2000 10k,8,17.1875,0,9.375,7.8125
"(16, 16, 40)",Abel 16x16 750 100k,8,10.15625,0,9.375,0.78125
"(16, 16, 40)",Abel 4x4 100k 100,8,84.375,1,9.375,75.0
"(16, 16, 40)",Abel 8x8 10k 1k,8,84.375,1,9.375,75.0
"(16, 16, 40)",Kane + MCTS,8,84.375,1,9.375,75.0
"(16, 16, 40)",Abel 16x16 2000 10k,9,26.5625,0,6.25,20.3125
"(16, 16, 40)",Abel 16x16 750 100k,9,7.03125,0,6.25,0.78125
"(16, 16, 40)",Abel 4x4 100k 100,9,17.1875,0,6.25,10.9375
"(16, 16, 40)",Abel 8x8 10k 1k,9,16.796875,0,6.25,10.546875
"(16, 16, 40)",Kane + MCTS,9,7.03125,0,6.25,0.78125
"(16, 16, 40)",Abel 16x16 2000 10k,10,5.078125,0,3.515625,1.5625
"(16, 16, 40)",Abel 16x16 750 100k,10,4.296875,0,3.515625,0.78125
"(16, 16, 40)",Abel 4x4 100k 100,10,84.375,1,3.515625,80.859375
